line,sid,msg,status,category,reason,rule
1,105,MALWARE-BACKDOOR - Dagger_1.4.0,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert tcp $HOME_NET 2589 -> $EXTERNAL_NET any ( msg:""MALWARE-BACKDOOR - Dagger_1.4.0""; flow:to_client,established; content:""2|00 00 00 06 00 00 00|Drives|24 00|"",depth 16; metadata:ruleset community; classtype:misc-activity; sid:105; rev:14; )"
4,115,MALWARE-BACKDOOR NetBus Pro 2.0 connection established,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert tcp $HOME_NET 20034 -> $EXTERNAL_NET any ( msg:""MALWARE-BACKDOOR NetBus Pro 2.0 connection established""; flow:to_client,established; flowbits:isset,backdoor.netbus_2.connect; content:""BN|10 00 02 00|"",depth 6; content:""|05 00|"",depth 2,offset 8; metadata:ruleset community; classtype:trojan-activity; sid:115; rev:15; )"
5,117,MALWARE-BACKDOOR Infector.1.x,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert tcp $HOME_NET any -> $EXTERNAL_NET any ( msg:""MALWARE-BACKDOOR Infector.1.x""; flow:to_client,established; content:""WHATISIT"",depth 9; metadata:impact_flag red,ruleset community; reference:nessus,11157; classtype:misc-activity; sid:117; rev:17; )"
7,119,MALWARE-BACKDOOR Doly 2.0 access,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert tcp $HOME_NET 6789 -> $EXTERNAL_NET any ( msg:""MALWARE-BACKDOOR Doly 2.0 access""; flow:to_client,established; content:""Wtzup Use"",depth 32; metadata:ruleset community; classtype:misc-activity; sid:119; rev:11; )"
19,185,MALWARE-BACKDOOR CDK,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert tcp $EXTERNAL_NET any -> $HOME_NET 79 ( msg:""MALWARE-BACKDOOR CDK""; flow:to_server,established; content:""ypi0ca"",depth 15,nocase; metadata:ruleset community; classtype:misc-activity; sid:185; rev:10; )"
21,208,MALWARE-BACKDOOR PhaseZero Server Active on Network,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert tcp $HOME_NET 555 -> $EXTERNAL_NET any ( msg:""MALWARE-BACKDOOR PhaseZero Server Active on Network""; flow:to_client,established; content:""phAse zero server"",depth 17,nocase; metadata:policy max-detect-ips drop,ruleset community; reference:url,www.megasecurity.org/trojans/p/phasezero/PhaseZero1.0b.html; reference:url,www3.ca.com/securityadvisor/pest/pest.aspx?id=4539; classtype:trojan-activity; sid:208; rev:13; )"
37,224,PROTOCOL-ICMP Stacheldraht server spoof,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp 3.3.3.3/32 any -> $EXTERNAL_NET any ( msg:""PROTOCOL-ICMP Stacheldraht server spoof""; icmp_id:666; itype:0; metadata:ruleset community; reference:cve,2000-0138; classtype:attempted-dos; sid:224; rev:10; )"
65,256,PROTOCOL-DNS named authors attempt,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert udp $EXTERNAL_NET any -> $HOME_NET 53 ( msg:""PROTOCOL-DNS named authors attempt""; flow:to_server; content:""|07|authors"",offset 12,nocase; content:""|04|bind|00|"",offset 12,nocase; metadata:policy max-detect-ips drop,ruleset community; service:dns; reference:nessus,10728; classtype:attempted-recon; sid:256; rev:16; )"
66,257,PROTOCOL-DNS named version attempt,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert tcp $EXTERNAL_NET any -> $HOME_NET 53 ( msg:""PROTOCOL-DNS named version attempt""; flow:to_server,established; content:""|07|version"",offset 12,nocase; content:""|04|bind|00|"",offset 12,nocase; metadata:policy max-detect-ips drop,ruleset community; service:dns; reference:nessus,10028; classtype:attempted-recon; sid:257; rev:18; )"
76,271,SERVER-OTHER UDP echo+chargen bomb,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert udp any 19 <> any 7 ( msg:""SERVER-OTHER UDP echo+chargen bomb""; flow:to_server; metadata:policy max-detect-ips drop,ruleset community; reference:cve,1999-0103; reference:cve,1999-0635; classtype:attempted-dos; sid:271; rev:12; )"
