line,sid,msg,status,category,reason,rule
37,224,PROTOCOL-ICMP Stacheldraht server spoof,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp 3.3.3.3/32 any -> $EXTERNAL_NET any ( msg:""PROTOCOL-ICMP Stacheldraht server spoof""; icmp_id:666; itype:0; metadata:ruleset community; reference:cve,2000-0138; classtype:attempted-dos; sid:224; rev:10; )"
76,271,SERVER-OTHER UDP echo+chargen bomb,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert udp any 19 <> any 7 ( msg:""SERVER-OTHER UDP echo+chargen bomb""; flow:to_server; metadata:policy max-detect-ips drop,ruleset community; reference:cve,1999-0103; reference:cve,1999-0635; classtype:attempted-dos; sid:271; rev:12; )"
77,272,OS-WINDOWS Microsoft WIndows IGMP dos attack,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert ip $EXTERNAL_NET any -> $HOME_NET any ( msg:""OS-WINDOWS Microsoft WIndows IGMP dos attack""; fragbits:M+; ip_proto:2; metadata:ruleset community; reference:bugtraq,514; reference:cve,1999-0918; reference:url,technet.microsoft.com/en-us/security/bulletin/MS99-034; classtype:attempted-dos; sid:272; rev:16; )"
82,279,SERVER-OTHER Bay/Nortel Nautica Marlin,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert udp $EXTERNAL_NET any -> $HOME_NET 161 ( msg:""SERVER-OTHER Bay/Nortel Nautica Marlin""; flow:to_server; dsize:0; metadata:policy max-detect-ips drop,ruleset community; reference:bugtraq,1009; reference:cve,2000-0221; classtype:attempted-dos; sid:279; rev:11; )"
134,363,PROTOCOL-ICMP IRDP router advertisement,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP IRDP router advertisement""; itype:9; metadata:ruleset community; reference:bugtraq,578; reference:cve,1999-0875; classtype:misc-activity; sid:363; rev:11; )"
135,364,PROTOCOL-ICMP IRDP router selection,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP IRDP router selection""; itype:10; metadata:ruleset community; reference:bugtraq,578; reference:cve,1999-0875; classtype:misc-activity; sid:364; rev:11; )"
136,365,PROTOCOL-ICMP PING undefined code,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING undefined code""; icode:>0; itype:8; metadata:ruleset community; classtype:misc-activity; sid:365; rev:11; )"
145,375,PROTOCOL-ICMP PING LINUX/*BSD,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING LINUX/*BSD""; dsize:8; id:13170; itype:8; metadata:ruleset community; classtype:misc-activity; sid:375; rev:10; )"
151,381,PROTOCOL-ICMP PING Oracle Solaris,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING Oracle Solaris""; dsize:8; itype:8; metadata:ruleset community; classtype:misc-activity; sid:381; rev:11; )"
153,384,PROTOCOL-ICMP PING,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING""; icode:0; itype:8; metadata:ruleset community; classtype:misc-activity; sid:384; rev:8; )"
